Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
HTBX,"Heat Biologics, Inc.",0.54,18395452.08,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/htbx
CARZ,First Trust NASDAQ Global Auto Index Fund,33.36,18348066.72,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/carz
SITO,"SITO Mobile, Ltd.",0.7101,18208250.7,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/sito
AEY,"ADDvantage Technologies Group, Inc.",1.75,18132261,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
SYPR,"Sypris Solutions, Inc.",0.8499,18098164.1,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sypr
IMMP,Immutep Limited,1.62,18094494.42,11169441,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/immp
JRJC,China Finance Online Co. Limited,0.8476,17985733.81,21219601,2004,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jrjc
NTEC,Intec Pharma Ltd.,0.54,17980580.34,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ntec
BIMI,NF Energy Saving Corporation,2.36,17872962.04,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/bimi
CHEK,Check-Cap Ltd.,2.17,17871707.7,n/a,2015,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chek
PIHPP,"1347 Property Insurance Holdings, Inc.",25.5,17850000,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
VVPR,VivoPower International PLC,1.3199,17823105.98,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/vvpr
LLIT,Lianluo Smart Limited,1,17806586,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/llit
FCSC,Fibrocell Science Inc.,1.82,17760164.24,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fcsc
RKDA,"Arcadia Biosciences, Inc.",2.8154,17644094.91,n/a,2015,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/rkda
OLD,The Long-Term Care ETF,29.39,17634029.39,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/old
MYSZ,"My Size, Inc.",0.59,17631347.01,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mysz
TAIT,Taitron Components Incorporated,3.08,17555528.76,n/a,1995,Technology,Electronic Components,https://www.nasdaq.com/symbol/tait
NXTD,NXT-ID Inc.,0.6,17537525.4,n/a,n/a,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/nxtd
BKYI,"BIO-key International, Inc.",1.2444,17523252.55,n/a,n/a,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/bkyi
RNLC,First Trust Large Cap US Equity Select ETF,23.3278,17495896.66,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rnlc
ADOM,"ADOMANI, Inc.",0.2391,17420936.7,n/a,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ACTTW,Act II Global Acquisition Corp.,0.8,17400000,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttw
PRPO,"Precipio, Inc.",2.93,17344665.33,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/prpo
ELTK,Eltek Ltd.,3.95,17302058.6,n/a,1997,Technology,Electrical Products,https://www.nasdaq.com/symbol/eltk
TUSA,First Trust Total US Market AlphaDEX ETF,34.4275,17213818.86,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tusa
ASLN,ASLAN Pharmaceuticals Limited,3.1717,17169947.2,5413484,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/asln
GNPX,"Genprex, Inc.",1.09,17004833.85,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/gnpx
CAPR,"Capricor Therapeutics, Inc.",4.86,16852161.78,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/capr
ITMR,Itamar Medical Ltd.,9.72,16716601.8,1719815,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/itmr
BFIT,Global X Health & Wellness Thematic ETF,19.63,16687698.56,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bfit
CBLI,"Cleveland BioLabs, Inc.",1.4758,16673941.12,n/a,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/cbli
FAMI,"FARMMI, INC.",1.397,16669004,n/a,2018,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/fami
AMRH,"Ameri Holdings, Inc.",0.3299,16599805.27,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh
DRIO,DarioHealth Corp.,0.4351,16535559.98,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/drio
SPCB,"SuperCom, Ltd.",1.1,16454172.9,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/spcb
HNDL,Strategy Shares Nasdaq 7HANDL Index ETF,24.38,16453452.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hndl
PULM,"Pulmatrix, Inc.",0.895,16369206.32,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pulm
WAFU,Wah Fu Education Group Limited,3.14,16328000,n/a,2019,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/wafu
RAND,Rand Capital Corporation,2.5678,16233600.79,n/a,n/a,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/rand
CLGN,CollPlant Biotechnologies Ltd.,4.29,16173128.4,3769960,n/a,n/a,n/a,https://www.nasdaq.com/symbol/clgn
TECTP,"Tectonic Financial, Inc.",10.75,16125000,n/a,2019,Finance,Major Banks,https://www.nasdaq.com/symbol/tectp
